"export-plot data (NetLogo 3.1.5)"
"Artificial Financial Market.nlogo"
"10/29/2018 09:30:09:935 -0400"

"MODEL SETTINGS"
"max-news-sensitivity","max-base-propensity-to-sentiment-contagion","miu","sigma"
"0.31","0.25","0.25","0.727"

"""Log-price"""
"x min","x max","y min","y max","autoplot?","current pen","pens displayed?","number of pens"
"0.0","1000.0","0.0","57.8","true","""log-price""","true","1"

"pen name","pen down?","mode","interval","color","xcor"
"""log-price""","true","0","1.0",blue,"125.0"

"""log-price"""
"x","y","color","pen down?"
"0.0","0.0",blue,"true"
"1.0","0.47260072541907655",blue,"true"
"2.0","1.3073228114890696",blue,"true"
"3.0","2.2665424958337415",blue,"true"
"4.0","3.260268601117537",blue,"true"
"5.0","4.259680423487893",blue,"true"
"6.0","5.259680423487893",blue,"true"
"7.0","5.14724046662092",blue,"true"
"8.0","5.532790902852661",blue,"true"
"9.0","6.115772963434957",blue,"true"
"10.0","6.0282325262229195",blue,"true"
"11.0","6.069502989902951",blue,"true"
"12.0","6.503872169395157",blue,"true"
"13.0","7.149789236349377",blue,"true"
"14.0","7.050289187334574",blue,"true"
"15.0","7.488775610234289",blue,"true"
"16.0","8.27369865699441",blue,"true"
"17.0","9.203509459856875",blue,"true"
"18.0","10.17998235467111",blue,"true"
"19.0","11.168610920497988",blue,"true"
"20.0","11.05715125968042",blue,"true"
"21.0","11.152338006077832",blue,"true"
"22.0","11.571414567199291",blue,"true"
"23.0","12.226546417017936",blue,"true"
"24.0","12.124497598274676",blue,"true"
"25.0","12.166552298794233",blue,"true"
"26.0","12.260562689932357",blue,"true"
"27.0","12.674345652387018",blue,"true"
"28.0","13.484560337221838",blue,"true"
"29.0","14.446132732085086",blue,"true"
"30.0","15.439074600529356",blue,"true"
"31.0","16.43711400843054",blue,"true"
"32.0","16.318792275267125",blue,"true"
"33.0","16.71336143515341",blue,"true"
"34.0","17.483776100382308",blue,"true"
"35.0","18.396529751985092",blue,"true"
"36.0","18.30389177531614",blue,"true"
"37.0","18.703950593079103",blue,"true"
"38.0","19.50357808058033",blue,"true"
"39.0","20.433977061072436",blue,"true"
"40.0","20.273502597784525",blue,"true"
"41.0","20.638662876188604",blue,"true"
"42.0","21.359670620527396",blue,"true"
"43.0","22.25124987746299",blue,"true"
"44.0","23.199882364474067",blue,"true"
"45.0","24.17204195667091",blue,"true"
"46.0","24.063523184001564",blue,"true"
"47.0","24.154592686991467",blue,"true"
"48.0","24.253504558376626",blue,"true"
"49.0","24.339280462699733",blue,"true"
"50.0","24.756004313302615",blue,"true"
"51.0","25.568767767865893",blue,"true"
"52.0","26.50053916282717",blue,"true"
"53.0","26.33594745613175",blue,"true"
"54.0","26.303499656896378",blue,"true"
"55.0","26.402019409861772",blue,"true"
"56.0","26.812273306538568",blue,"true"
"57.0","27.605038721693944",blue,"true"
"58.0","28.53053622193902",blue,"true"
"59.0","28.438094304479947",blue,"true"
"60.0","28.550338202137038",blue,"true"
"61.0","28.953533967258103",blue,"true"
"62.0","29.569846093520233",blue,"true"
"63.0","29.575825899421616",blue,"true"
"64.0","30.031173414371132",blue,"true"
"65.0","30.839035388687375",blue,"true"
"66.0","31.783550632290943",blue,"true"
"67.0","32.76316047446328",blue,"true"
"68.0","32.597196353298685",blue,"true"
"69.0","32.55808254092735",blue,"true"
"70.0","32.998529555925884",blue,"true"
"71.0","33.78482501715518",blue,"true"
"72.0","34.69601019507891",blue,"true"
"73.0","34.5408293304578",blue,"true"
"74.0","34.92147828644251",blue,"true"
"75.0","35.47779629448093",blue,"true"
"76.0","35.51142044897559",blue,"true"
"77.0","35.97382609548084",blue,"true"
"78.0","36.645819037349284",blue,"true"
"79.0","36.5345554357416",blue,"true"
"80.0","36.5340652877169",blue,"true"
"81.0","36.99451034212333",blue,"true"
"82.0","37.679835310263705",blue,"true"
"83.0","37.570924419174595",blue,"true"
"84.0","37.59278502107637",blue,"true"
"85.0","37.70757768846192",blue,"true"
"86.0","37.819429467699244",blue,"true"
"87.0","37.92971277325752",blue,"true"
"88.0","38.31957651210665",blue,"true"
"89.0","38.93902558572688",blue,"true"
"90.0","38.94167238506028",blue,"true"
"91.0","39.057837466915",blue,"true"
"92.0","39.45789628467796",blue,"true"
"93.0","40.24164297617879",blue,"true"
"94.0","41.16419958827564",blue,"true"
"95.0","41.07116949318693",blue,"true"
"96.0","41.149887265954305",blue,"true"
"97.0","41.25801392020389",blue,"true"
"98.0","41.66238604058424",blue,"true"
"99.0","42.46456229781392",blue,"true"
"100.0","43.401823350651874",blue,"true"
"101.0","43.30604842662482",blue,"true"
"102.0","43.725909224585806",blue,"true"
"103.0","44.53416331732181",blue,"true"
"104.0","45.47946279776491",blue,"true"
"105.0","45.32134104499557",blue,"true"
"106.0","45.674737770806765",blue,"true"
"107.0","46.19713753553571",blue,"true"
"108.0","46.12802666405252",blue,"true"
"109.0","46.55298500147042",blue,"true"
"110.0","47.34143711400841",blue,"true"
"111.0","48.28105087736494",blue,"true"
"112.0","49.26007254190763",blue,"true"
"113.0","49.09371630232328",blue,"true"
"114.0","49.063425154396604",blue,"true"
"115.0","49.17213998627583",blue,"true"
"116.0","49.58004117243405",blue,"true"
"117.0","50.20419566709144",blue,"true"
"118.0","50.109597098323675",blue,"true"
"119.0","50.14694637780608",blue,"true"
"120.0","50.25938633467305",blue,"true"
"121.0","50.37123811391038",blue,"true"
"122.0","50.773061464562275",blue,"true"
"123.0","51.56915988628563",blue,"true"
"124.0","52.52465444564256",blue,"true"
"125.0","53.513871189099085",blue,"true"
